stockcode,description,keyword,groupcode
20728,lunch bag cars blue,"{'lunch', 'blue', 'car', 'bag'}",20728
20731,posy candy bag,"{'bag', 'candy', 'posy'}",20731
20733,gold mini tape measure,"{'mini', 'measure', 'tape', 'gold'}",20733
20734,silver mini tape measure,"{'silver', 'mini', 'measure', 'tape'}",20733
20735,black mini tape measure,"{'black', 'mini', 'measure', 'tape'}",20733
20748,kensington coffee set,"{'set', 'coffee', 'kensington'}",20748
20749,assorted colour mini cases,"{'colour', 'mini', 'assorted', 'case'}",20749
20750,red retrospot mini cases,"{'mini', 'retrospot', 'red', 'case'}",20750
20751,funky washing up gloves assorted,"{'washing', 'funky', 'glove', 'assorted'}",20751
20752,blue polkadot washing up gloves,"{'washing', 'blue', 'polkadot', 'glove'}",20752
20754,retrospot red washing up gloves,"{'washing', 'retrospot', 'red', 'glove'}",20754
20755,blue paisley pocket book,"{'blue', 'book', 'pocket', 'paisley'}",21928
20756,green fern pocket book,"{'green', 'book', 'fern', 'pocket'}",20756
20757,red daisy pocket book,"{'daisy', 'book', 'pocket', 'red'}",20757
20758,abstract circles pocket book,"{'abstract', 'book', 'pocket', 'circle'}",20758
20759,chrysanthemum pocket book,"{'book', 'pocket', 'chrysanthemum'}",20759
20760,garden path pocket book,"{'path', 'book', 'pocket', 'garden'}",20760
20761,blue paisley sketchbook,"{'blue', 'sketchbook', 'paisley'}",20761
20762,green fern sketchbook,"{'green', 'sketchbook', 'fern'}",20762
20763,daisy sketchbook,"{'daisy', 'sketchbook'}",20763
20764,abstract circles sketchbook,"{'abstract', 'sketchbook', 'circle'}",20764
20765,chrysanthemum sketchbook,"{'sketchbook', 'chrysanthemum'}",20765
20766,garden path sketchbook,"{'path', 'sketchbook', 'garden'}",20766
20767,blue paisley journal,"{'blue', 'paisley', 'journal'}",20767
20768,green fern journal,"{'green', 'fern', 'journal'}",20768
20769,daisy journal,"{'daisy', 'journal'}",20769
20770,abstract circle journal,"{'abstract', 'circle', 'journal'}",20770
20771,chrysanthemum journal,"{'chrysanthemum', 'journal'}",20771
20772,garden path journal,"{'garden', 'path', 'journal'}",20772
20773,blue paisley notebook,"{'blue', 'notebook', 'paisley'}",20773
20774,green fern notebook,"{'green', 'fern', 'notebook'}",20774
20775,daisy notebook,"{'daisy', 'notebook'}",20775
20777,chrysanthemum notebook,"{'notebook', 'chrysanthemum'}",20777
20778,garden path notebook,"{'path', 'notebook', 'garden'}",20778
20780,black ear muff headphones,"{'black', 'muff', 'ear', 'headphone'}",20780
20781,gold ear muff headphones,"{'muff', 'ear', 'headphone', 'gold'}",20780
20782,camouflage ear muff headphones,"{'muff', 'ear', 'camouflage', 'headphone'}",20780
20785,fuschia retro bar stool,"{'stool', 'retro', 'bar', 'fuschia'}",20785
20793,blue tiled tray,"{'blue', 'tiled', 'tray'}",20793
20794,blue tile hook,"{'blue', 'hook', 'tile'}",20794
20795,large blue provencal ceramic ball,"{'ceramic', 'large', 'ball', 'blue', 'provencal'}",20795
20796,small blue provencal ceramic ball,"{'ceramic', 'ball', 'small', 'blue', 'provencal'}",20795
20798,clear milkshake glass,"{'milkshake', 'clear', 'glass'}",20798
20801,large pink glass sundae dish,"{'large', 'sundae', 'pink', 'dish', 'glass'}",20801
20802,small glass sundae dish clear,"{'clear', 'sundae', 'small', 'dish', 'glass'}",20801
20803,small pink glass sundae dish,"{'sundae', 'small', 'pink', 'dish', 'glass'}",22215
20816,gold flower cushion cover,"{'flower', 'cushion', 'cover', 'gold'}",21621
20818,gold teddy bear,"{'bear', 'gold', 'teddy'}",20818
20819,silver teddy bear,"{'silver', 'bear', 'teddy'}",20819
20820,silver looking mirror,"{'silver', 'mirror', 'looking'}",20820
20821,goldie looking mirror,"{'mirror', 'goldie', 'looking'}",20821
20823,gold wine goblet,"{'goblet', 'wine', 'gold'}",20823
20826,silver aperitif glass,"{'silver', 'aperitif', 'glass'}",20826
20827,gold aperitif glass,"{'aperitif', 'glass', 'gold'}",20827
20828,glitter butterfly clips,"{'butterfly', 'glitter', 'clip'}",20828
20829,glitter hanging butterfly string,"{'butterfly', 'hanging', 'glitter', 'string'}",20829
20830,silver photo frame,"{'silver', 'frame', 'photo'}",20830
20831,gold photo frame,"{'frame', 'photo', 'gold'}",20831
20832,red flock love heart photo frame,"{'flock', 'photo', 'frame', 'red', 'heart', 'love'}",23069
20835,french lattice cushion cover,"{'french', 'cushion', 'cover', 'lattice'}",20835
20836,french paisley cushion cover,"{'french', 'cushion', 'cover', 'paisley'}",21621
20837,french floral cushion cover,"{'french', 'floral', 'cushion', 'cover'}",20835
20838,french lattice cushion cover,"{'french', 'cushion', 'cover', 'lattice'}",20835
20839,french paisley cushion cover,"{'french', 'cushion', 'cover', 'paisley'}",21621
20840,french floral cushion cover,"{'french', 'floral', 'cushion', 'cover'}",20835
20845,zinc heart lattice wall planter,"{'wall', 'lattice', 'heart', 'zinc', 'planter'}",20845
20846,zinc heart lattice tlight holder,"{'holder', 'tlight', 'lattice', 'heart', 'zinc'}",21816
20847,zinc heart lattice charger large,"{'large', 'charger', 'lattice', 'heart', 'zinc'}",22296
20848,zinc heart lattice charger small,"{'charger', 'lattice', 'small', 'heart', 'zinc'}",22296
20851,zinc heart lattice tray oval,"{'oval', 'lattice', 'heart', 'zinc', 'tray'}",20845
20854,blue patch purse pink heart,"{'patch', 'purse', 'blue', 'pink', 'heart'}",16206b
20856,denim patch purse pink butterfly,"{'denim', 'patch', 'purse', 'pink', 'butterfly'}",16206b
20857,blue rose patch purse pink butterfl,"{'rose', 'patch', 'butterfl', 'purse', 'blue', 'pink'}",16206b
20860,gold cosmetics bag with butterfly,"{'butterfly', 'cosmetic', 'bag', 'gold'}",20860
20861,gold cosmetic bag pink star,"{'star', 'pink', 'cosmetic', 'bag', 'gold'}",20860
20866,blue rose fabric mirror,"{'blue', 'rose', 'mirror', 'fabric'}",20866
20867,pink rose fabric mirror,"{'mirror', 'rose', 'pink', 'fabric'}",20866
20868,silver fabric mirror,"{'silver', 'mirror', 'fabric'}",20868
20869,gold fabric mirror,"{'mirror', 'gold', 'fabric'}",20869
20871,opulent velvet set candles,"{'set', 'velvet', 'opulent', 'candle'}",20871
20878,set christmas tlights scented,"{'set', 'scented', 'tlights', 'christmas'}",20878
20886,box of pebble candles,"{'box', 'pebble', 'candle'}",20886
20892,set tall glass candle holder pink,"{'holder', 'candle', 'pink', 'set', 'tall', 'glass'}",85169a
20893,hanging bauble tlight holder small,"{'holder', 'bauble', 'tlight', 'hanging', 'small'}",21816
20894,hanging bauble tlight holder large,"{'holder', 'bauble', 'large', 'tlight', 'hanging'}",21816
20897,vintage notebook paris days,"{'day', 'vintage', 'notebook', 'paris'}",20901
20898,vintage notebook travelogue,"{'vintage', 'notebook', 'travelogue'}",20898
20901,vintage keepsake box pink flower,"{'box', 'vintage', 'pink', 'keepsake', 'flower'}",20901
20902,vintage keepsake box paris days,"{'box', 'vintage', 'day', 'keepsake', 'paris'}",20901
20903,vintage keepsake box travelogue,"{'box', 'vintage', 'keepsake', 'travelogue'}",20901
20906,vintage notebook beauty girl,"{'girl', 'vintage', 'notebook', 'beauty'}",20906
20910,vintage photo album paris days,"{'vintage', 'photo', 'day', 'album', 'paris'}",20901
20914,set red retrospot lid glass bowls,"{'lid', 'retrospot', 'bowl', 'red', 'set', 'glass'}",72802a
20931,blue pot plant candle,"{'blue', 'pot', 'plant', 'candle'}",20931
20932,pink pot plant candle,"{'plant', 'pot', 'pink', 'candle'}",20931
20933,yellow pot plant candle,"{'yellow', 'plant', 'pot', 'candle'}",20931
20934,set pot plant candles,"{'set', 'plant', 'pot', 'candle'}",20931
20935,round cactus candle,"{'round', 'candle', 'cactus'}",20935
20936,forked cactus candle,"{'forked', 'candle', 'cactus'}",20936
20941,frog candle,"{'candle', 'frog'}",20941
20954,usb office mirror ball,"{'mirror', 'office', 'ball', 'usb'}",20954
20956,porcelain tlight holders assorted,"{'porcelain', 'holder', 'assorted', 'tlight'}",21816
20957,porcelain hanging bell small,"{'porcelain', 'small', 'hanging', 'bell'}",20957
20960,watermelon bath sponge,"{'watermelon', 'bath', 'sponge'}",20960
20961,strawberry bath sponge,"{'strawberry', 'bath', 'sponge'}",20961
20963,apple bath sponge,"{'bath', 'apple', 'sponge'}",20963
20964,polyester filler pad xcm,"{'xcm', 'polyester', 'pad', 'filler'}",20964
20966,sandwich bath sponge,"{'bath', 'sandwich', 'sponge'}",20966
20967,grey floral feltcraft shoulder bag,"{'grey', 'shoulder', 'floral', 'feltcraft', 'bag'}",20967
20969,red floral feltcraft shoulder bag,"{'shoulder', 'floral', 'red', 'feltcraft', 'bag'}",20967
20970,pink floral feltcraft shoulder bag,"{'shoulder', 'pink', 'floral', 'feltcraft', 'bag'}",20967
20971,pink blue felt craft trinket box,"{'trinket', 'box', 'felt', 'blue', 'pink', 'craft'}",23071
20972,pink cream felt craft trinket box,"{'trinket', 'cream', 'box', 'felt', 'pink', 'craft'}",23071
20973,pencil small tube woodland,"{'pencil', 'small', 'tube', 'woodland'}",20973
20974,pencils small tube skull,"{'pencil', 'small', 'tube', 'skull'}",20973
20975,pencils small tube red retrospot,"{'retrospot', 'pencil', 'small', 'red', 'tube'}",21844
20977,pencils tube woodland,"{'pencil', 'tube', 'woodland'}",20973
20978,pencils tube skulls,"{'pencil', 'tube', 'skull'}",20973
20979,pencils tube red retrospot,"{'pencil', 'retrospot', 'red', 'tube'}",20973
20980,pencils tube posy,"{'pencil', 'tube', 'posy'}",20973
20981,pencils tall tube woodland,"{'pencil', 'tall', 'tube', 'woodland'}",20973
20982,pencils tall tube skulls,"{'pencil', 'tube', 'tall', 'skull'}",20973
20983,pencils tall tube red retrospot,"{'retrospot', 'pencil', 'red', 'tall', 'tube'}",20973
20984,pencils tall tube posy,"{'pencil', 'tall', 'tube', 'posy'}",20973
20985,heart calculator,"{'heart', 'calculator'}",20985
20986,blue calculator ruler,"{'blue', 'ruler', 'calculator'}",20986
20992,jazz hearts purse notebook,"{'heart', 'notebook', 'purse', 'jazz'}",20992
20996,jazz hearts address book,"{'heart', 'address', 'book', 'jazz'}",20996
20997,rose du sud cushion cover,"{'rose', 'sud', 'cushion', 'cover'}",21621
20998,rose du sud oven glove,"{'rose', 'oven', 'sud', 'glove'}",20998
21000,rose du sud cosmetics bag,"{'rose', 'sud', 'bag', 'cosmetic'}",21928
21001,rose du sud washbag,"{'rose', 'sud', 'washbag'}",21001
21002,rose du sud drawstring bag,"{'rose', 'sud', 'bag', 'drawstring'}",21000
21003,rose du sud cushion cover,"{'rose', 'sud', 'cushion', 'cover'}",21621
21009,etched glass star tree decoration,"{'tree', 'decoration', 'star', 'etched', 'glass'}",21147
21011,glitter snow pear tree decoration,"{'tree', 'decoration', 'pear', 'glitter', 'snow'}",21011
21012,antique all glass candlestick,"{'candlestick', 'glass', 'antique'}",21012
21014,swiss chalet tree decoration,"{'decoration', 'chalet', 'tree', 'swiss'}",21014
21015,dark bird house tree decoration,"{'tree', 'decoration', 'house', 'bird', 'dark'}",21015
21018,bird box christmas tree decoration,"{'tree', 'decoration', 'box', 'bird', 'christmas'}",21015
21025,space frog,"{'space', 'frog'}",21025
21026,space owl,"{'owl', 'space'}",21026
21027,ninja rabbit pink,"{'ninja', 'pink', 'rabbit'}",21027
21028,ninja rabbit black,"{'black', 'ninja', 'rabbit'}",21028
21030,space cadet red,"{'space', 'red', 'cadet'}",21030
21031,space cadet black,"{'black', 'space', 'cadet'}",21031
21032,space cadet white,"{'space', 'cadet', 'white'}",21032
21033,jumbo bag charlie and lola toys,"{'jumbo', 'toy', 'lola', 'charlie', 'bag'}",20711
21034,rex cashcarry jumbo shopper,"{'cashcarry', 'jumbo', 'shopper', 'rex'}",21034
21035,set red retrospot tea towels,"{'retrospot', 'tea', 'red', 'set', 'towel'}",20676
21038,set modern vintage cotton napkins,"{'vintage', 'cotton', 'modern', 'set', 'napkin'}",22734
21039,red retrospot shopping bag,"{'shopping', 'retrospot', 'red', 'bag'}",23545
21040,modern vintage cotton shopping bag,"{'shopping', 'vintage', 'cotton', 'modern', 'bag'}",21621
21041,red retrospot oven glove double,"{'retrospot', 'oven', 'glove', 'red', 'double'}",21411
21042,red retrospot apron,"{'apron', 'retrospot', 'red'}",21042
21043,apron modern vintage cotton,"{'apron', 'vintage', 'cotton', 'modern'}",21038
21051,ribbons purse,"{'ribbon', 'purse'}",21051
21054,nurses bag soft toy,"{'soft', 'toy', 'nurse', 'bag'}",21054
21055,tool box soft toy,"{'soft', 'toy', 'box', 'tool'}",21055
21056,doctors bag soft toy,"{'soft', 'toy', 'bag', 'doctor'}",21054
21058,party invites woodland,"{'invite', 'party', 'woodland'}",21058
21059,party invites dinosaurs,"{'invite', 'party', 'dinosaur'}",21059
21060,party invites balloon girl,"{'invite', 'party', 'balloon', 'girl'}",21060
21061,party invites football,"{'invite', 'party', 'football'}",21061
21062,party invites spaceman,"{'invite', 'party', 'spaceman'}",21062
21063,party invites jazz hearts,"{'invite', 'party', 'heart', 'jazz'}",21063
21064,boom box speaker boys,"{'speaker', 'box', 'boom', 'boy'}",21064
21065,boom box speaker girls,"{'speaker', 'box', 'boom', 'girl'}",21064
21066,vintage red mug,"{'mug', 'red', 'vintage'}",23249
21067,vintage red teatime mug,"{'mug', 'red', 'vintage', 'teatime'}",23249
21068,vintage billboard lovehate mug,"{'billboard', 'vintage', 'mug', 'lovehate'}",21068
21069,vintage billboard tea mug,"{'billboard', 'mug', 'vintage', 'tea'}",21068
21070,vintage billboard mug,"{'billboard', 'mug', 'vintage'}",21068
21071,vintage billboard drink me mug,"{'billboard', 'vintage', 'mug', 'drink'}",21068
21078,set strawberry paper napkins,"{'set', 'strawberry', 'napkin', 'paper'}",21078
21080,set red retrospot paper napkins,"{'retrospot', 'paper', 'red', 'set', 'napkin'}",21078
21082,set fruit salad paper napkins,"{'fruit', 'paper', 'set', 'salad', 'napkin'}",21084
21084,set collage paper cups,"{'set', 'cup', 'paper', 'collage'}",21084
